2643,2
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
a,0,a
b,0,b
c,0,c
d,0,d
e,0,e
f,0,f
10,0,10
11,0,11
12,0,12
13,0,13
14,0,14
15,0,15
16,0,16
17,0,17
18,0,18
19,0,19
1a,0,1a
1b,0,1b
1c,0,1c
1d,0,1d
1e,0,1e
1f,0,1f
20,0,20
21,0,21
22,0,22
23,0,23
24,0,24
25,0,25
26,0,26
27,0,27
28,0,28
29,0,29
2a,0,2a
2b,0,2b
2c,0,2c
2d,0,2d
2e,0,2e
2f,0,2f
30,0,30
31,0,31
32,0,32
33,0,33
34,0,34
35,0,35
36,0,36
37,0,37
38,0,38
39,0,39
3a,0,3a
3b,0,3b
3c,0,3c
3d,0,3d
3e,0,3e
3f,0,3f
40,0,40
41,0,41
42,0,42
43,0,43
44,0,44
45,0,45
46,0,46
47,0,47
48,0,48
49,0,49
4a,0,4a
4b,0,4b
4c,0,4c
4d,0,4d
4e,0,4e
4f,0,4f
50,0,50
51,0,51
52,0,52
53,0,53
54,0,54
55,0,55
56,0,56
57,0,57
58,0,58
59,0,59
5a,0,5a
5b,0,5b
5c,0,5c
5d,0,5d
5e,0,5e
5f,0,5f
60,0,60
61,0,61
62,0,62
63,0,63
64,0,64
65,0,65
66,0,66
67,0,67
68,0,68
69,0,69
6a,0,6a
6b,0,6b
6c,0,6c
6d,0,6d
6e,0,6e
6f,0,6f
70,0,70
71,0,71
72,0,72
73,0,73
74,0,74
75,0,75
76,0,76
77,0,77
78,0,78
79,0,79
7a,0,7a
7b,0,7b
7c,0,7c
7d,0,7d
7e,0,7e
7f,0,7f
80,0,80
a7,81,98
a8,81,4e
b0,81,8b
b1,81,7d
b4,81,4c
b6,81,f7
d7,81,7e
f7,81,80
391,83,9f
392,83,a0
393,83,a1
394,83,a2
395,83,a3
396,83,a4
397,83,a5
398,83,a6
399,83,a7
39a,83,a8
39b,83,a9
39c,83,aa
39d,83,ab
39e,83,ac
39f,83,ad
3a0,83,ae
3a1,83,af
3a3,83,b0
3a4,83,b1
3a5,83,b2
3a6,83,b3
3a7,83,b4
3a8,83,b5
3a9,83,b6
3b1,83,bf
3b2,83,c0
3b3,83,c1
3b4,83,c2
3b5,83,c3
3b6,83,c4
3b7,83,c5
3b8,83,c6
3b9,83,c7
3ba,83,c8
3bb,83,c9
3bc,83,ca
3bd,83,cb
3be,83,cc
3bf,83,cd
3c0,83,ce
3c1,83,cf
3c3,83,d0
3c4,83,d1
3c5,83,d2
3c6,83,d3
3c7,83,d4
3c8,83,d5
3c9,83,d6
401,84,46
410,84,40
411,84,41
412,84,42
413,84,43
414,84,44
415,84,45
416,84,47
417,84,48
418,84,49
419,84,4a
41a,84,4b
41b,84,4c
41c,84,4d
41d,84,4e
41e,84,4f
41f,84,50
420,84,51
421,84,52
422,84,53
423,84,54
424,84,55
425,84,56
426,84,57
427,84,58
428,84,59
429,84,5a
42a,84,5b
42b,84,5c
42c,84,5d
42d,84,5e
42e,84,5f
42f,84,60
430,84,70
431,84,71
432,84,72
433,84,73
434,84,74
435,84,75
436,84,77
437,84,78
438,84,79
439,84,7a
43a,84,7b
43b,84,7c
43c,84,7d
43d,84,7e
43e,84,80
43f,84,81
440,84,82
441,84,83
442,84,84
443,84,85
444,84,86
445,84,87
446,84,88
447,84,89
448,84,8a
449,84,8b
44a,84,8c
44b,84,8d
44c,84,8e
44d,84,8f
44e,84,90
44f,84,91
451,84,76
2010,81,5d
2015,81,5c
2018,81,65
2019,81,66
201c,81,67
201d,81,68
2020,81,f5
2021,81,f6
2025,81,64
2026,81,63
2030,81,f1
2032,81,8c
2033,81,8d
203b,81,a6
2103,81,8e
2116,87,82
2116,fa,59
2121,87,84
2121,fa,5a
212b,81,f0
2160,87,54
2160,fa,4a
2161,87,55
2161,fa,4b
2162,87,56
2162,fa,4c
2163,87,57
2163,fa,4d
2164,87,58
2164,fa,4e
2165,87,59
2165,fa,4f
2166,87,5a
2166,fa,50
2167,87,5b
2167,fa,51
2168,87,5c
2168,fa,52
2169,87,5d
2169,fa,53
2170,ee,ef
2170,fa,40
2171,ee,f0
2171,fa,41
2172,ee,f1
2172,fa,42
2173,ee,f2
2173,fa,43
2174,ee,f3
2174,fa,44
2175,ee,f4
2175,fa,45
2176,ee,f5
2176,fa,46
2177,ee,f6
2177,fa,47
2178,ee,f7
2178,fa,48
2179,ee,f8
2179,fa,49
2190,81,a9
2191,81,aa
2192,81,a8
2193,81,ab
21d2,81,cb
21d4,81,cc
2200,81,cd
2202,81,dd
2203,81,ce
2207,81,de
2208,81,b8
220b,81,b9
2211,87,94
221a,81,e3
221a,87,95
221d,81,e5
221e,81,87
221f,87,98
2220,81,da
2220,87,97
2225,81,61
2227,81,c8
2228,81,c9
2229,81,bf
2229,87,9b
222a,81,be
222a,87,9c
222b,81,e7
222b,87,92
222c,81,e8
222e,87,93
2234,81,88
2235,81,e6
2235,87,9a
2235,fa,5b
223d,81,e4
2252,81,e0
2252,87,90
2260,81,82
2261,81,df
2261,87,91
2266,81,85
2267,81,86
226a,81,e1
226b,81,e2
2282,81,bc
2283,81,bd
2286,81,ba
2287,81,bb
22a5,81,db
22a5,87,96
22bf,87,99
2312,81,dc
2460,87,40
2461,87,41
2462,87,42
2463,87,43
2464,87,44
2465,87,45
2466,87,46
2467,87,47
2468,87,48
2469,87,49
246a,87,4a
246b,87,4b
246c,87,4c
246d,87,4d
246e,87,4e
246f,87,4f
2470,87,50
2471,87,51
2472,87,52
2473,87,53
2500,84,9f
2501,84,aa
2502,84,a0
2503,84,ab
250c,84,a1
250f,84,ac
2510,84,a2
2513,84,ad
2514,84,a4
2517,84,af
2518,84,a3
251b,84,ae
251c,84,a5
251d,84,ba
2520,84,b5
2523,84,b0
2524,84,a7
2525,84,bc
2528,84,b7
252b,84,b2
252c,84,a6
252f,84,b6
2530,84,bb
2533,84,b1
2534,84,a8
2537,84,b8
2538,84,bd
253b,84,b3
253c,84,a9
253f,84,b9
2542,84,be
254b,84,b4
25a0,81,a1
25a1,81,a0
25b2,81,a3
25b3,81,a2
25bc,81,a5
25bd,81,a4
25c6,81,9f
25c7,81,9e
25cb,81,9b
25ce,81,9d
25cf,81,9c
25ef,81,fc
2605,81,9a
2606,81,99
2640,81,8a
2642,81,89
266a,81,f4
266d,81,f3
266f,81,f2
3000,81,40
3001,81,41
3002,81,42
3003,81,56
3005,81,58
3006,81,59
3007,81,5a
3008,81,71
3009,81,72
300a,81,73
300b,81,74
300c,81,75
300d,81,76
300e,81,77
300f,81,78
3010,81,79
3011,81,7a
3012,81,a7
3013,81,ac
3014,81,6b
3015,81,6c
301d,87,80
301f,87,81
3041,82,9f
3042,82,a0
3043,82,a1
3044,82,a2
3045,82,a3
3046,82,a4
3047,82,a5
3048,82,a6
3049,82,a7
304a,82,a8
304b,82,a9
304c,82,aa
304d,82,ab
304e,82,ac
304f,82,ad
3050,82,ae
3051,82,af
3052,82,b0
3053,82,b1
3054,82,b2
3055,82,b3
3056,82,b4
3057,82,b5
3058,82,b6
3059,82,b7
305a,82,b8
305b,82,b9
305c,82,ba
305d,82,bb
305e,82,bc
305f,82,bd
3060,82,be
3061,82,bf
3062,82,c0
3063,82,c1
3064,82,c2
3065,82,c3
3066,82,c4
3067,82,c5
3068,82,c6
3069,82,c7
306a,82,c8
306b,82,c9
306c,82,ca
306d,82,cb
306e,82,cc
306f,82,cd
3070,82,ce
3071,82,cf
3072,82,d0
3073,82,d1
3074,82,d2
3075,82,d3
3076,82,d4
3077,82,d5
3078,82,d6
3079,82,d7
307a,82,d8
307b,82,d9
307c,82,da
307d,82,db
307e,82,dc
307f,82,dd
3080,82,de
3081,82,df
3082,82,e0
3083,82,e1
3084,82,e2
3085,82,e3
3086,82,e4
3087,82,e5
3088,82,e6
3089,82,e7
308a,82,e8
308b,82,e9
308c,82,ea
308d,82,eb
308e,82,ec
308f,82,ed
3090,82,ee
3091,82,ef
3092,82,f0
3093,82,f1
309b,81,4a
309c,81,4b
309d,81,54
309e,81,55
30a1,83,40
30a2,83,41
30a3,83,42
30a4,83,43
30a5,83,44
30a6,83,45
30a7,83,46
30a8,83,47
30a9,83,48
30aa,83,49
30ab,83,4a
30ac,83,4b
30ad,83,4c
30ae,83,4d
30af,83,4e
30b0,83,4f
30b1,83,50
30b2,83,51
30b3,83,52
30b4,83,53
30b5,83,54
30b6,83,55
30b7,83,56
30b8,83,57
30b9,83,58
30ba,83,59
30bb,83,5a
30bc,83,5b
30bd,83,5c
30be,83,5d
30bf,83,5e
30c0,83,5f
30c1,83,60
30c2,83,61
30c3,83,62
30c4,83,63
30c5,83,64
30c6,83,65
30c7,83,66
30c8,83,67
30c9,83,68
30ca,83,69
30cb,83,6a
30cc,83,6b
30cd,83,6c
