Place, surname
Adam of Łowicz, ""
Balthus, ""
Biernat of Lublin, ""
Bolesław I the Brave, ""
Bolesław II the Bold, ""
Casimir I the Restorer, ""
Casimir II the Just, ""
Casimir III the Great, ""
Cheka, ""
Doda, ""
Doubravka of Bohemia, ""
Gaspar da Gama, ""
Grzegorz of Stawiszyn, ""
Henry I the Bearded, ""
Henry II the Pious, ""
Jakub of Gostynin, ""
Jan of Głogów, ""
Jan of Stobnica, ""
Kayah, ""
Kordian, ""
Krakus, ""
Lech, ""
Leszek I the White, ""
Lisowczycy, ""
Michał Twaróg of Bystrzyków, ""
Mieszko I, ""
Mieszko III the Old, ""
Pharaoh, ""
Piotr of Goniądz, ""
Popiel, ""
Przemysł II, ""
Richeza of Lotharingia, ""
Roland, ""
Roxelana, ""
Sigismund I the Old, ""
St. Hyacinth, ""
St. Jadwiga, ""
Stanisław of Skarbimierz, ""
Stanisław of Szczepanów, ""
Świętosława, ""
"Tytus, Romek i A'Tomek", ""
Wacław of Szamotuły, ""
Władysław I the Elbow-high, ""
Władysław III of Varna, ""
Bruno, Abakanowicz
Magdalena, Abakanowicz
Edward, Abramowski
Piotr, Adamczyk
Tomasz, Adamek
Karol, Adamiecki
Irena, Adamowicz
George, Adamski
Chrystian Piotr, Aigner
Kazimierz, Ajdukiewicz
Chava, Alberstein
John I, Albert
Izak, Aloni
Paweł, Althamer
Sylwester, Ambroziak
Zygmunt, Anczok
Władysław, Anders
Piotr, Anderszewski
Piotr, Andrejew
Tadeusz, Andrzejewski
Jadwiga, Angevin
Mordechaj, Anielewicz
Anna, Anka
Feliks, Ankerstein
Andrzej Alojzy, Ankwicz
Jolanta, Antas
Aleksy, Antkiewicz
Dawid, Apfelbaum
Henryk, Apostel
Izaak, Appel
Krzysztof, Arciszewski
Tomasz, Arciszewski
Henryk, Arctowski
Józef, Arkusz
Franciszek, Armiński
Franciszka, Arnsztajnowa
Nachman, Aronszajn
Stefan, Askenase
Szymon, Askenazy
Adam, Asnyk
Sigismund II, Augustus
Arnold, Aurbach
Joseph, Babinski
Grażyna, Bacewicz
Krzysztof Kamil, Baczyński
Kazimierz Feliks, Badeni
Andrzej, Badeński
Tomasz, Bagiński
Leszek, Balcerowicz
Edward, Balcerzan
Mirosław, Bałka
Stefan, Banach
Tadeusz, Banachiewicz
Jan, Banaś
Paul, Baran
Stanisław, Barańczak
Agnieszka, Baranowska
Katarzyna, Baranowska
Leon, Barszczewski
Kazimierz, Bartel
Andrzej, Bartkowiak
Edyta, Bartosiewicz
Władysław, Bartoszewski
Waldemar, Baszanowski
Stephen, Báthory
Jan Niecisław, Baudouin de Courtenay
Zygmunt, Bauman
Józef, Beck
Krzysztof, Bednarski
Mieczysław G., Bekker
Zdzisław, Beksiński
Małgosia, Bela
Marek, Belka
Zdzisław, Belsitzmann
Józef, Bem
David, Ben-Gurion
Władysław T., Benda
Wacław, Berent
Adolf, Berman
Czesław, Białobrzeski
Miron, Białoszewski
Andrzej, Białynicki-Birula
Marcin, Bielski
Piotr Ignacy, Bieńkowski
Zbigniew, Bieńkowski
Edmund, Biernacki
Bolesław, Bierut
Czesław, Bieżanko
Józef, Bilczewski
Marek, Biliński
Stefan, Błachowski
Leszek, Blanik
Abram, Blass
Jakub, Błaszczykowski
Rafał, Blechacz
Jan Nepomucen, Bobrowicz
Michał, Bobrzyński
Józef Maria, Bocheński
Eugeniusz, Bodo
Józef, Boguski
Wojciech, Bogusławski
Karol, Bohdanowicz
Janusz, Bokszczanin
Zbigniew, Boniek
Tadeusz, Bór-Komorowski
Karol Olgierd, Borchardt
Anna, Borkowska (Sister Bertranda)
Walerian, Borowczyk
Tadeusz, Borowski
Karol, Borsuk
Artur, Boruc
Stan, Borys
Józef, Borzyszkowski
Tadeusz, Boy-Żeleński
Olga, Boznańska
Józef, Brandt
Ewa, Braun
Władysław, Broel-Plater
Władysław, Broniewski
Jacob, Bronowski
Jan, Brożek
Aleksander, Brückner
Albert, Brudzewski
Agnieszka, Brustman
Lucjan, Brychczy
Stefan, Bryła
Matthew, Bryza
Jan, Brzechwa
Zbigniew, Brzeziński
Dariusz, Brzozowski
Stanisław, Brzozowski
Szymon, Budny
Teodor, Bujnicki
Andrzej, Buncol
Andrzej, Bursa
Adam, Burski
Jan, Bystroń (linguist)
Filip, Callimachus
Romuald, Cebertowicz
Ewald, Cebula
Hipolit, Cegielski
Zdzisław, Celiński
Janusz, Centka
Florian, Ceynowa
Oscar, Chajes
Tytus, Chałubiński
Edmund, Charaszkiewicz
Georges, Charpak
Józef Marian, Chełmoński
Adam (Albert), Chmielowski
Piotr, Chmielowski
Marek Jan, Chodakiewicz
Jan Karol, Chodkiewicz
Lidia, Chojecka
Dan, Chojecki
Edmund, Chojecki
Krystyna, Chojnowska-Liskiewicz
Fryderyk, Chopin
Joe, Choynski
Jerzy, Chromik
Leon, Chwistek
Zygmunt, Chychła
Leszek, Cichy
Grzegorz, Ciechowski
Teresa, Ciepły
Gerard, Cieślik
August, Cieszkowski
Maksymilian, Ciężki
Włodzimierz, Cimoszewicz
Gerard, Ciołek
Lesław, Ćmikiewicz
Joseph, Conrad
Nicolaus, Copernicus
Icchak, Cukierman
Josef, Cukierman
Maria Skłodowska, Curie
Maria Skłodowska, Curie (Marie Curie)
Lucyna, Ćwierczakiewiczowa
Napoleon, Cybulski
Zbigniew, Cybulski
Józef, Cyrankiewicz
Piotr, Cywiński
Tadeusz, Czacki
Michał, Czajkowski
Zbigniew, Czajkowski
Franciszek, Czapek
Maria, Czaplicka
Maria Antonina, Czaplicka
Józef, Czapski
Stefan, Czarniecki
Hieronim, Czarnowski
