old_stamp_id,new_stamp_id
1a,1a
1b,1b
1c,1c
1d,1d
1e,1e
1f,1f
1g,1g
1h,1h
1i,1i
2a,2a
2b,2b
2c,2c
2d,2d
2e,2e
2f,2f
2g,2g
2h,2h
2i,2i
2j,2j
2k,2k
2l,2l
3a,3a
4a,4a
4b,4b
4c,4c
4d,4d
4e,4e
4f,4f
4g,4g
4h,4h
4i,4i
5a,5a
5b,5b
5c,5c
5d,5d
5e,5e
5f,5f
5g,5g
5h,5h
5i,5i
5j,5j
5k,5k
6c,6c
6d,6d
6e,6e
6f,6f
6g,6g
6h,6h
6i,6i
6k,6k
6l,6l
6m,6m
6o,6o
6p,6p
6q,6q
7a,7a
7b,7b
7c,7c
7d,7d
8a,8a
8b,8b
8c,8c
8d,8d
8e,8e
8f,8f
8g,8g
9a,9a
9b,9b
9c,9c
9d,9d
9e,9e
9f,9f
9g,9g
9h,9h
9i,9i
9j,9j
9k,9k
9l,9l
9m,9m
9n,9n
9o,9o
10a,10a
10b,10b
10c,10c
10d,10d
10e,10e
11a,11a
11b,11b
11c,11c
11d,11d
11e,11e
11f,11f
11g,11g
11h,11h
11i,11i
11j,11j
11k,11k
11l,11l
12a,12a
12b,12b
12c,12c
12d,12d
12e,12e
12f,12f
12g,12g
13a,13a
13b,13b
13c,13c
13d,13d
14a,14a
14b,14b
15a,15a
16a,16a
16b,16b
16c,16c
16d,16d
16e,16e
17a,17a
17b,17b
18a,18a
18b,18b
18c,18c
18d,18d
18e,18e
18f,18f
18g,18g
18h,18h
18i,18i
18j,18j
18k,18k
18l,18l
19a,19a
19b,19b
19c,19c
19d,19d
19e,19e
19f,19f
19g,19g
20a,20a
20b,20b
20c,20c
20d,20d
20e,20e
21a,21a
21b,21b
21c,21c
22a,22a
23a,23a
23b,23b
23c,23c
23d,23d
23e,23e
23f,23f
23g,23g
23h,23h
23i,23i
23j,23j
23k,23k
23l,23l
23m,23m
24a,24a
24b,24b
24c,24c
24d,24d
24e,24e
24f,24f
24g,24g
25a,25a
25b,25b
25c,25c
26a,26a
26b,26b
26c,26c
26d,26d
26e,26e
26f,26f
27a,27a
27b,27b
27c,27c
27d,27d
27e,27e
27f,27f
27g,27g
27h,27h
27i,27i
27j,27j
27k,27k
27l,27l
27m,27m
27n,27n
27o,27o
27p,27p
28a,28a
28b,28b
28c,28c
28d,28d
28e,28e
28f,28f
28g,28g
29a,29a
29b,29b
29c,29c
29d,29d
29e,29e
29f,29f
30a,30a
30b,30b
30c,30c
30d,30d
30e,30e
30f,30f
31a,31a
32a,32a
33a,33a
33b,33b
34a,34a
34b,34b
34c,34c
34d,34d
34e,34e
34f,34f
34g,34g
34h,34h
34i,34i
35a,35a
35b,35b
36a,36a
36b,36b
36c,36c
36d,36d
36e,36e
37a,37a
37b,37b
37c,37c
37d,37d
37e,37e
37f,37f
38a,38a
38b,38b
38c,38c
39a,39a
39b,39b
40a,40a
40b,40b
41a,41a
41b,41b
41c,41c
41d,41d
42a,42a
42b,42b
42c,42c
42d,42d
42e,42e
43a,43a
43b,43b
44a,44a
44a1,44a1
44a2,44a2
44a3,44a3
44b,44b
44c,44c
44d,44d
44e,44e
44f,44f
44g,44g
44h,44h
44i,44i
44j,44j
44k,44k
44l,44l
44m,44m
44n,44n
44o,44o
44p,44p
44q,44q
44r,44r
44s,44s
45a,45a
45b,45b
46a,46a
46a1,46a1
47a,47a
47b,47b
48a,48a
48b,48b
49a,49a
49b,49b
50a,50a
50b,50b
50c,50c
50d,50d
50e,50e
50f,50f
50g,50g
50h,50h
50i,50i
50j,50j
50k,50k
50l,50l
50m,50m
50n,50n
50o,50o
50p,50p
51a,51a
51b,51b
51c,51c
51d,51d
51e,51e
52a,52a
52b,52b
52c,52c
52d,52d
52e,52e
53a,53a
53b,53b
54a,54a
54b,54b
54c,54c
54d,54d
54e,54e
54f,54f
54g,54g
54h,54h
54i,54i
54j,54j
54k,54k
54l,54l
54m,54m
54n,54n
55a,55a
55b,55b
55c,55c
55d,55d
56a,56a
56b,56b
57a,57a
57b,57b
57c,57c
57d,57d
57e,57e
57f,57f
57g,57g
58a,58a
58b,58b
58c,58c
58d,58d
58e,58e
59a,59a
59b,59b
60a,60a
60b,60b
61a,61a
61b,61b
61c,61c
61d,61d
61e,61e
61f,61f
61g,61g
61h,61h
61i,61i
61j,61j
61k,61k
61l,61l
61m,61m
61n,61n
61o,61o
61p,61p
61q,61q
61r,61r
62a,62a
62b,62b
62c,62c
62d,62d
62e,62e
62f,62f
62g,62g
62h,62h
62i,62i
62j,62j
62k,62k
62l,62l
62m,62m
62n,62n
62o,62o
63a,63a
63b,63b
63c,63c
63d,63d
64a,64a
64b,64b
64c,64c
64d,64d
64e,64e
64f,64f
65a,65a
65b,65b
66a,66a
66b,66b
66c,66c
66d,66d
66e,66e
67a,67a
67b,67b
67c,67c
67d,67d
68a,68a
68b,68b
68c,68c
68d,68d
68e,68e
68f,68f
68g,68g
68h,68h
68i,68i
68j,68j
68k,68k
68l,68l
68m,68m
68n,68n
68o,68o
68p,68p
69a,69a
69b,69b
69c,69c
69d,69d
69e,69e
69f,69f
69g,69g
69h,69h
69i,69i
69j,69j
69k,69k
69l,69l
69m,69m
70a,70a
70b,70b
70c,70c
71a,71a
71b,71b
71c,71c
71d,71d
72a,72a
72b,72b
72c,72c
72d,72d
73a,73a
73b,73b
73c,73c
73d,73d
74a,74a
74b,74b
74c,74c
74d,74d
75a,75a
75b,75b
76a,76a
76b,76b
76c,76c
76d,76d
77a,77a
77b,77b
77c,77c
77d,77d
78a,78a
78b,78b
78b1,78b1
78c,78c
78d,78d
78d1,78d1
78e,78e
78f,78f
78g,78g
78h,78h
78h1,78h1
78i,78i
78i1,78i1
78j,78j
78k,78k
78l,78l
78m,78m
79a,79a
79b,79b
79c,79c
79d,79d
80a,80a
80b,80b
80c,80c
80d,80d
80e,80e
80f,80f
80g,80g
80h,80h
80i,80i
80j,80j
80k,80k
81a,81a
81b,81b
81c,81c
81d,81d
82a,82a
82b,82b
82c,82c
82d,82d
82e,82e
82f,82f
83a,83a
83b,83b
83b1,83b1
83c,83c
83d,83d
84a,84a
84b,84b
84c,84c
84d,84d
85a,89a
85b,85a
85c,89b
85d,89c
85e,85b
85f,89d
85g,89e
86a,86a
86b,86b
86c,86c
86d,86d
86e,86e
86f,86f
86g,86g
87a,87a
87b,87b
87c,87c
87d,87d
88a,88a
88b,88b
88c,88c
88d,88d
89a,90a
89b,90b
89c,90c
89d,90d
89e,90e
89f,90f
89g,90g
90a,91a
90b,91b
90c,91c
90d,91d
91a,92a
91b,92b
91c,92c
91d,92d
92a,93a
92b,93b
92c,93c
92d,93d
92e,93e
92f,93f
92g,93g
92h,93h
92i,93i
92j,93j
92k,93k
92l,93l
92m,93m
92n,93n
92o,93o
92p,93p
92q,93q
92r,93r
92r1,93r1
92r2,93r2
92r3,93r3
92r4,93r4
92s,93s
92t,93t
92u,93u
93a,94a
93b,94b
93c,94c
93d,94d
93e,94e
93f,94f
93g,94g
93h,94h
93i,94i
93j,94j
93k,94k
93l,94l
93m,94m
93n,94n
93o,94o
93p,94p
94a,95a
94b,95b
94c,95c
94d,95d
95a,96a
95b,96b
95c,96c
95d,96d
95e,96e
96a,97a
96b,97b
96c,97c
96d,97d
96e,97e
97a,98a
97b,98b
97c,98c
97d,98d
97e,98e
97f,98f
97g,98g
97h,98h
98a,99a
98b,99b
98c,99c
98d,99d
98e,99e
99a,100a
99a1,100a1
99b,100b
99c,100c
99d,100d
99e,100e
100a,101a
100b,101b
100c,101c
100c1,101c1
100d,101d
100e,101e
100f,101f
101a,102a
101b,102b
101c,102c
101d,102d
102a,103a
102b,103b
103a,104a
103b,104b
103c,104c
103d,104d
103d1,104d1
103e,104e
103e1,104e1
103f,104f
104a,105a
104b,105b
104c,105c
104d,105d
104e,105e
104f,105f
105a,106a
105a1,106a1
